Player,Category,CORRECT,DISCOUNTED,INCORRECT
Shai Gilgeous-Alexander,FG Attempted,1.0,0.0,1.0
Shai Gilgeous-Alexander,Pts+Asts,5.0,0.0,1.0
Shai Gilgeous-Alexander,Pts+Rebs+Asts,1.0,0.0,0.0
Tyrese Maxey,Assists,1.0,0.0,0.0
Tyrese Maxey,Pts+Asts,3.0,0.0,0.0
Tyrese Maxey,Pts+Rebs+Asts,1.0,0.0,0.0
Tyrese Haliburton,Assists,3.0,0.0,0.0
Jalen Brunson,Assists,2.0,0.0,3.0
Jalen Brunson,FG Attempted,1.0,0.0,0.0
Jalen Brunson,Pts+Asts,0.0,0.0,1.0
Khris Middleton,Assists,1.0,0.0,0.0
Khris Middleton,Pts+Asts,0.0,0.0,3.0
Joel Embiid,Pts+Rebs+Asts,2.0,0.0,0.0
Jamal Murray,Assists,2.0,0.0,0.0
Jamal Murray,Pts+Asts,2.0,0.0,1.0
Donovan Mitchell,Assists,1.0,0.0,0.0
Donovan Mitchell,FG Attempted,2.0,0.0,1.0
Donovan Mitchell,Pts+Asts,2.0,0.0,1.0
Giannis Antetokounmpo,Pts+Asts,2.0,0.0,0.0
Kyrie Irving,Assists,1.0,0.0,0.0
Kyrie Irving,Pts+Asts,0.0,0.0,2.0
Kyrie Irving,Pts+Rebs+Asts,0.0,0.0,1.0
Andrew Nembhard,Assists,0.0,0.0,2.0
Domantas Sabonis,Pts+Rebs+Asts,2.0,0.0,0.0
LeBron James,FG Attempted,1.0,0.0,0.0
LeBron James,Pts+Asts,1.0,0.0,0.0
LeBron James,Pts+Rebs+Asts,2.0,0.0,0.0
Scottie Barnes,Pts+Rebs+Asts,2.0,0.0,0.0
Terry Rozier,Assists,2.0,0.0,0.0
Terry Rozier,FG Attempted,0.0,0.0,1.0
Terry Rozier,Pts+Asts,0.0,0.0,1.0
Tobias Harris,Assists,1.0,0.0,0.0
Tobias Harris,Pts+Asts,1.0,0.0,2.0
Tobias Harris,Pts+Rebs+Asts,0.0,0.0,1.0
Zion Williamson,Pts+Rebs+Asts,2.0,0.0,0.0
Anthony Davis,FG Attempted,1.0,0.0,0.0
Anthony Davis,Pts+Asts,1.0,0.0,0.0
Anthony Davis,Pts+Rebs+Asts,2.0,0.0,0.0
Damian Lillard,Assists,1.0,0.0,0.0
Damian Lillard,FG Attempted,1.0,0.0,0.0
Damian Lillard,Pts+Rebs+Asts,1.0,0.0,0.0
Anthony Edwards,Pts+Rebs+Asts,1.0,0.0,0.0
Austin Reaves,Pts+Rebs+Asts,1.0,0.0,0.0
Paul George,Assists,1.0,0.0,0.0
Paolo Banchero,Pts+Asts,1.0,0.0,0.0
Nikola Vucevic,Pts+Rebs+Asts,0.0,0.0,1.0
Nick Richards,Pts+Rebs+Asts,1.0,0.0,0.0
Miles Bridges,FG Attempted,1.0,0.0,0.0
Miles Bridges,Pts+Asts,1.0,0.0,0.0
Miles Bridges,Pts+Rebs+Asts,1.0,0.0,1.0
Luka Doncic,Assists,1.0,0.0,0.0
Luka Doncic,FG Attempted,1.0,0.0,0.0
Luguentz Dort,Pts+Rebs+Asts,1.0,0.0,0.0
Bam Adebayo,Pts+Rebs+Asts,1.0,0.0,0.0
Lauri Markkanen,Pts+Rebs+Asts,0.0,0.0,1.0
Bradley Beal,Assists,0.0,0.0,1.0
Bradley Beal,Pts+Asts,1.0,0.0,0.0
Bradley Beal,Pts+Rebs+Asts,1.0,0.0,0.0
Klay Thompson,FG Attempted,0.0,0.0,1.0
Klay Thompson,Pts+Rebs+Asts,1.0,0.0,0.0
Trae Young,Pts+Asts,0.0,0.0,1.0
Zach Collins,Pts+Asts,1.0,0.0,0.0
Xavier Tillman,Assists,1.0,0.0,0.0
Wendell Carter Jr.,Pts+Rebs+Asts,1.0,0.0,0.0
Victor Wembanyama,FG Attempted,1.0,0.0,0.0
Tyus Jones,Assists,1.0,0.0,1.0
Anfernee Simons,Assists,0.0,1.0,0.0
Stephen Curry,Assists,1.0,0.0,0.0
Stephen Curry,FG Attempted,0.0,1.0,0.0
Stephen Curry,Pts+Asts,1.0,0.0,0.0
Stephen Curry,Pts+Rebs+Asts,1.0,0.0,1.0
Kelly Oubre Jr.,Pts+Asts,1.0,0.0,0.0
Kelly Oubre Jr.,Pts+Rebs+Asts,1.0,0.0,0.0
Ja Morant,FG Attempted,1.0,0.0,0.0
Immanuel Quickley,Assists,1.0,0.0,0.0
Brandon Miller,Pts+Asts,0.0,0.0,1.0
Brandon Miller,Pts+Rebs+Asts,0.0,0.0,1.0
Donte DiVincenzo,Pts+Asts,0.0,0.0,1.0
Coby White,FG Attempted,1.0,0.0,0.0
Coby White,Pts+Asts,1.0,0.0,0.0
Coby White,Pts+Rebs+Asts,0.0,0.0,1.0
Devin Vassell,FG Attempted,1.0,0.0,0.0
Devin Vassell,Pts+Rebs+Asts,1.0,0.0,1.0
Devin Booker,Pts+Rebs+Asts,0.0,0.0,1.0
Desmond Bane,Pts+Asts,0.0,0.0,1.0
Dennis Schroder,Assists,0.0,0.0,1.0
Deni Avdija,Pts+Asts,0.0,0.0,1.0
Dejounte Murray,Assists,1.0,1.0,0.0
DeMar DeRozan,Pts+Asts,1.0,0.0,0.0
De'Aaron Fox,FG Attempted,1.0,0.0,1.0
Brandon Ingram,FG Attempted,1.0,0.0,1.0
Brandon Ingram,Pts+Rebs+Asts,1.0,0.0,0.0
Jayson Tatum,FG Attempted,1.0,0.0,0.0
Keldon Johnson,Pts+Asts,0.0,0.0,1.0
Kawhi Leonard,FG Attempted,0.0,0.0,1.0
Kawhi Leonard,Pts+Asts,0.0,0.0,1.0
Kawhi Leonard,Pts+Rebs+Asts,1.0,0.0,1.0
Jordan Poole,Pts+Asts,1.0,0.0,0.0
Jonathan Kuminga,Pts+Asts,1.0,0.0,0.0
Jonathan Kuminga,Pts+Rebs+Asts,0.0,0.0,1.0
Jimmy Butler,Pts+Rebs+Asts,1.0,0.0,0.0
Jaylen Brown,Pts+Rebs+Asts,1.0,0.0,0.0
Jarrett Allen,Pts+Asts,0.0,0.0,1.0
Jarrett Allen,Pts+Rebs+Asts,1.0,0.0,0.0
Jaren Jackson Jr.,Pts+Asts,1.0,0.0,0.0
James Harden,Assists,1.0,0.0,1.0
Jalen Johnson,Pts+Rebs+Asts,0.0,0.0,1.0
Jalen Green,FG Attempted,0.0,0.0,1.0
Alperen Sengun,Pts+Rebs+Asts,1.0,0.0,0.0
